player_id,name,position,goals,assists,goal_conversion_percentage,big_chances_created,shots,shots_on_target,passes,pass_accuracy,key_passes,cross_accuracy,tackles,interceptions,ground_duels_won_percentage,aerial_duels_won,total_duels_won,successful_dribbles
pl_72501523,Bruno Guimarães,M,0.32993890020366595,0.18329938900203666,21.4,0.2566191446028513,1.539714867617108,0.8431771894093686,53.193482688391036,86.1,1.6863543788187372,25.6,2.2729124236252547,0.5498981670061099,50.5,0.4765784114052953,6.6354378818737265,0.6598778004073319
pl_45126714,Bukayo Saka,F,0.28314606741573034,0.20224719101123595,9.9,0.4853932584269663,2.8719101123595507,1.0921348314606742,31.26741573033708,76.7,2.548314606741573,32.8,1.658426966292135,0.6471910112359551,51.1,0.8898876404494382,7.64494382022472,2.0224719101123596
pl_19350393,Cristhian Mosquera,D,0.0,0.0,0.0,0.0,0.0897308075772682,0.0,56.79960119641077,91.3,0.448654037886341,33.3,2.8713858424725824,0.7178464606181456,50.0,1.794616151545364,7.178464606181456,0.0897308075772682
pl_13486574,David Raya,G,0.0,0.0,0.0,0.0,0.0,0.0,29.486486486486488,64.8,0.08108108108108109,0.0,0.02702702702702703,0.02702702702702703,96.2,0.2702702702702703,0.9459459459459459,0.02702702702702703
pl_08343894,Declan Rice,M,0.11616650532429817,0.14520813165537272,10.0,0.49370764762826724,1.1616650532429817,0.37754114230396907,62.03291384317522,87.3,1.8586640851887708,26.4,2.032913843175218,1.074540174249758,60.2,1.4520813165537272,5.663117134559536,0.4065827686350436
pl_57929743,Ian Maatsen,D,0.0,0.05572755417956657,0.0,0.2786377708978328,1.1145510835913313,0.2786377708978328,39.845201238390096,86.0,1.4489164086687307,22.2,2.3962848297213624,1.0588235294117647,48.8,1.0030959752321982,6.631578947368421,1.170278637770898
pl_5287874,John McGinn,F,0.20746887966804978,0.16597510373443983,17.9,0.2904564315352697,1.1618257261410787,0.49792531120331945,31.286307053941908,82.4,1.7012448132780082,25.3,1.2033195020746887,0.49792531120331945,44.8,0.45643153526970953,4.896265560165975,0.7883817427385892
pl_30302208,João Gomes,M,0.03165670066830813,0.03165670066830813,5.3,0.06331340133661625,0.6014773126978544,0.22159690467815688,46.06049947238832,85.6,0.50650721069293,34.4,3.3872669715089696,1.1396412240590925,50.4,0.8547309180443194,8.009145269081955,1.3612381287372495
pl_83252934,Lamare Bogarde,M,0.0,0.0,0.0,0.0,0.0,0.0,41.16847826086956,89.7,0.16304347826086957,50.0,2.119565217391304,0.4076086956521739,52.3,0.733695652173913,5.380434782608695,0.16304347826086957
pl_61918650,Matty Cash,D,0.08940397350993377,0.08940397350993377,10.0,0.11920529801324503,0.8940397350993377,0.29801324503311255,41.51324503311258,85.5,0.923841059602649,19.8,1.9668874172185429,0.6556291390728477,51.5,0.9536423841059603,5.0364238410596025,0.32781456953642385
pl_72550306,Pau Torres,D,0.0,0.0,0.0,0.0,0.48329355608591884,0.05369928400954654,62.720763723150355,89.0,0.05369928400954654,0.0,1.1813842482100239,0.5906921241050119,55.7,1.3424821002386633,4.510739856801909,0.37589498806682575
